TITLE	DESCRIPTION	COMPLETION_CRITERIA	START_FLAG	END_FLAG	OPTIONAL	REPEATABLE
Get to the Greeks	Retrieve the Key to Macedonia from the Greeks.	{'No Criteria': True}	Old Ruins Complete	Coliseum	0	0
The Italian Job	Find and defeat Giacomo Gambino in his castle.	{'Kills': ('Giacomo Gambino3', 1)}	Giacomo Coward 1	Blueprint	0	0
Alternate Plans	Find a way beyond the Greek border.	{'Items': {'Greek Wall Blueprint': 1}}	Greek Wall	Greek Wall Hole	0	0
Act like you belong	Sneak into the Coliseum.	{'Wildcard Items': {'Greek Armour': 1, 'Greek Robe': 1}}	Not Disguised	Coliseum	0	0
I want to be the very best	Win the coliseum.	{'No Criteria': True}	Coliseum	Coliseum Complete	0	0
Guided Tour of the Mediterranean	Follow your escort to the Greek Fortress west of Athens.	{'No Criteria': True}	Coliseum Complete	Greek Fortress	0	0
Internal Investigation	Search the Greek Fortress for clues about Macedonia.	{'Items': {'Key Mold': 1}}	Greek Fortress	Got Key Mold	0	0
The Key to Macedonia	Find a blacksmith who can smith the Key to Macedonia.	{'Items': {'Key Mold': 1, 'Gold Bar': 1}}	Key Hunting	Got Key	0	0
Steps to Justice	Travel to the Thessalonian Highlands from the northeastern tip of the Greek Plains.	{'No Criteria': True}	Got Key	Thessaloniki	0	0
Open Thessame	Open the gate to Macedonia in the Thessalonian Highlands.	{'Items': {'The Key to Macedonia': 1}}	Thessaloniki	Macedonian Gate Opened	0	0
Liberation	Save Macedonia.	{'No Criteria': True}	Stone Banter	Conclusion	0	0
Graveyard Shift	Defeat the Pirates in the Scutari Peninsula and the Gryphons in Western Kosovo.	{'Multiple Kills': (('Pirate Captain', "Pirates"), ('Phoenix', "Gryphons"))}	Skeleton Clan	Skeleton Clan Reward	1	0
Bilge Duty	Defeat the Skeletons in the Mojkovac Cemetery and the Gryphons in Western Kosovo.	{'Multiple Kills': (('Skeleton Commander', "Skeletons"), ('Phoenix', "Gryphons"))}	Pirate Clan	Pirate Clan Reward	1	0
Pecking Order	Defeat the Skeletons in the Mojkovac Cemetery and the Pirates in the Scutari Peninsula.	{'Multiple Kills': (('Skeleton Commander', "Skeletons"), ('Pirate Captain', "Pirates"))}	Gryphon Clan	Gryphon Clan Reward	1	0
Aquamarine Dreams	Bring an Aquamarine Shard to Ivana in Herceg Novi.	{'Items': {'Aquamarine Shard': 1}}	Ivana Talk 3	Necklace Fixed	1	0
Animal Absorption	Hunt for a legendary Giant Animal and absorb its power using the altar in the Hidden Passage.	{'Wildcard Kills': (('Giant Seal2', 'Giant Shark2', 'Giant Salamander2', 'Giant Scorpion2', 'Giant Scarab2'), 1, "Legendary Animal")}	Animal Powers	Ascended	1	0
Animal Ascension	Defeat every legendary Giant Animal and absorb their souls.	{'Multiple Kills': (('Giant Seal2', "Frostflipper the Fierce"), ('Giant Shark2', "Tidetooth the Tough"), ('Giant Salamander2', "Meltmaw the Magical"), ('Giant Scorpion2', "Poisonpinch the Piercing"), ('Giant Scarab2', "Stoneshell the Spirited"))}	Ascended	Got Sigil	1	0
Precious Metal	Bring a piece of Gold Ore to Goldum in the Romadan Hideout.	{'Items': {'Gold Ore': 1}}	Met Goldum	Goldum Gold	1	0
A Sword of Ice and Fire	Bring a Garnet Fragment and an Aquamarine Shard to the Sword Man in the Romadan Village.	{'Items': {'Garnet Fragment': 1, 'Aquamarine Shard': 1}}	Swordcraft	Magnificent Blade	1	1
Punched to Perfection	Bring a Jade Ward, an Aquamarine Ward, and a Garnet Ward to Big Nigel in the Greek Plains.	{'Items': {'Jade Ward': 1, 'Garnet Ward': 1, 'Aquamarine Ward': 1}}	Big Nigel	Diamond Defence	1	1
Delivery to an Oseku	Bring an Espadon to the woman in Pec.	{'Items': {'Espadon': 1}}	Qendresa Story	Qendresa Espadon	1	0
Suited in Steel	Bring a Steel Cuirass to the woman in Pec.	{'Items': {'Steel Cuirass': 1}}	Qendresa Espadon	Qendresa Cuirass	1	0
Coat of Arms	Find the lost Oseku Shield somewhere in Albania and return it to the woman in Pec.	{'Items': {'Oseku Shield': 1}}	Qendresa Cuirass	Qendresa Crest	1	0
Mythical Medley	Kill 10 mythical creatures for Melanippe in Litochoro.	{'Wildcard Kills': (('Nemean Lion', 'Teumessian Fox', 'Stymphalian Bird', 'Hydra', 'Chimera', 'Cerberus', 'Cychreides', 'Skolopendra', 'Pterripus', 'Gorgon', 'Harpy', 'Minotaur', 'Centaur', 'Satyr', 'Siren'), 10, "Mythical Creatures")}	Melanippe Quest 1	Melanippe Quest 1 Complete	1	0
Skolopendra Sauce	Kill 3 Skolopendras for Melanippe in Litochoro.	{'Kills': ('Skolopendra', 3)}	Melanippe Quest 2	Melanippe Quest 2 Complete	1	0
Hydra-tion	Kill 9 Hydras for Melanippe in Litochoro.	{'Kills': ('Hydra', 9)}	Melanippe Quest 3	Melanippe Quest 3 Complete	1	0
Ain't No Mountain High Enough	Ascend Mount Olympus.	{'No Criteria': True}	Ready for Mount Olympus	Mount Olympus Complete	0	0
Toro! Toro!	Defeat the minotaur in the Labyrinth of Daedalus.	{'No Criteria': True}	Ready for Labyrinth	Labyrinth Complete	0	0
Might and Magic	Defeat Talos and bring his ichor to Medea.	{'Kills': ('Talos', 1), 'Items': {'Ichor of Talos': 1}}	Medea Quest	Medea Quest Complete	0	0
Storm the Desert	Confront the Italian president in the Albanian Desert.	{'Kills': ('Giacomo Gambino1', 1)}	Qendresa	Giacomo Coward 1	0	0
